OBJECTID,UID,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,CCN_3,CCA_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,ID_4,NAME_4,VARNAME_4,CCN_4,CCA_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,ID_5,NAME_5,CCN_5,CCA_5,TYPE_5,ENGTYPE_5,REGION,VARREGION,Shape_Leng,Shape_Area
210020,210020.0,214,SSD,South Sudan,6,Unity,Al-Wahdah| Wahda,,SD.WH,0,,Wilayat,State,Unknown,Present,,24,Al Leiri,,,,0,,District,District,Unknown,Present,,26,El Leiri,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Upper Nile,,5.44623223857,1.02873128125
210024,210024.0,214,SSD,South Sudan,7,Upper Nile,Upper Nile|Sobat|a`Ālī an Nīl|Nil supérieur,,SD.UN,0,,Wilayat,State,1976,Present,,28,Al Mabien,,,,0,,District,District,Unknown,Present,,30,Mabein,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Upper Nile,,3.48650255095,0.68812102431
210032,210032.0,214,SSD,South Sudan,8,Warap,Warab|Warrab,,SD.WR,0,,Wilayat,State,Unknown,Present,,36,Gogrial,,,,0,,District,District,Unknown,Present,,38,Gogiryal,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Bahr el Ghazal,Bahr-al-Ghazal,5.41235458021,0.812574077185
210036,210036.0,214,SSD,South Sudan,9,West Bahr-al-Ghazal,Bahr al-Ghazāl al Gharbīyah|Gharb Bahr al-Ghazāl |Bahr el-Ghazal occidental| Western Bahr el Ghazal,,SD.WB,0,,Wilayat,State,Unknown,Present,,40,Raja,,,,0,,District,District,Unknown,Present,,42,Raga,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Bahr el Ghazal,Bahr-al-Ghazal,10.6860847341,4.65497393586
210038,210038.0,214,SSD,South Sudan,10,West Equatoria,Al Istiwā'īyah al Gharbīyah|Gharb al Istiwā'īyah| Équatoria occidental,,SD.WE,0,,Wilayat,State,1976,Present,,42,Meridi,,,,0,,District,District,Unknown,Present,,44,Eiba,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Equatoria,Al Istiwā'ī|Al Istiwā'īyah|Equatória,5.55728399099,0.875196871155
210044,210044.0,215,ESP,Spain,1,Andalucía,Andalousie|Andaluc¡a|Andalusien|Andaluzia,,ES.AN,0,01,Comunidad Autónoma,Autonomous Community,1981,Present,,1,Almería,,,ES.AN.AM,0,04,Provincia,Province,Unknown,Present,,1,n.a. (15),,,,0,,Comarca,Comarca,Unknown,Present,,1,Albánchez,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.270381016329,0.00357864763965
210827,210827.0,215,ESP,Spain,2,Aragón,Aragão|Aragó|Aragón|Aragona|Aragonien,,ES.AR,0,15,Comunidad Autónoma,Autonomous Community,1982,Present,,9,Huesca,,,ES.AR.HS,0,22,Provincia,Province,Unknown,Present,,59,n.a. (125),,,,0,,Comarca,Comarca,Unknown,Present,,784,Arén,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.575919750131,0.0130191949318
211565,211565.0,215,ESP,Spain,3,Cantabria,Cantàbria|Cantábria|Cantabrie|Kantabrien,,ES.CB,0,06,Comunidad Autónoma,Autonomous Community,19820131,Present,,12,Cantabria,,,ES.CB.CN,0,39,Provincia,Province,Unknown,Present,,81,Asón-Agüera,,,,0,,Comarca,Comarca,Unknown,Present,,1522,Ampuero,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.380003908333,0.00360773485136
211668,211668.0,215,ESP,Spain,4,Castilla-La Mancha,Castela-La Mancha|Castela-Mancha|Castella-la Manxa|Castilha-La Mancha,,ES.CM,0,08,Comunidad Autónoma,Autonomous Community,1982,Present,,13,Albacete,,,ES.CM.AB,0,02,Provincia,Province,Unknown,Present,,92,n.a. (10),,,,0,,Comarca,Comarca,Unknown,Present,,1625,Albacete,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,2.50580023395,0.118606778477
212592,212592.0,215,ESP,Spain,5,Castilla y León,Castile and Leon|Castela e Leão|Castella i Lleó|Castile-Leon|Castilha-Leão|Castilla y León|Castille et Léon|Kastilien-León,,ES.CL,0,07,Comunidad Autónoma,Autonomous Community,1983,Present,,18,Ávila,,,ES.CL.AV,0,05,Provincia,Province,Unknown,Present,,126,n.a. (23),,,,0,,Comarca,Comarca,Unknown,Present,,2549,Adanero,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.255155376095,0.00335543267738
214910,214910.0,215,ESP,Spain,6,Cataluña,Catalogna|Catalogne|Catalonia|Catalunha|Catalunya|Katalonien,,ES.CT,0,09,Comunidad Autónoma,Autonomous Community,1979,Present,,27,Barcelona,,,ES.CT.BR,0,08,Provincia,Province,Unknown,Present,,191,n.a. (162),,,,0,,Comarca,Comarca,Unknown,Present,,4867,Bagà,Bagá,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.107859443567,0.000362044281474
