Master Key,Dataset Key,Segment Type,Association Type,Channel,Hashtag,Handle,Post Content,Post Theme Type,Post Themes,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url,sentiment,polarity score
1,,Consumer,Brand,weibo,['#夏季物语#'],another,#夏季物语# 用完一瓶的倩碧淡斑精华，已经一个多月了不舍得扔，幻想还能挤出来，白白占着梳妆台的一格，就像已经决定丢弃的感情一样，已无感情何来遗留，正视现实，处理问题，等待结果！什么重生无非是做好自己，死而不悔 |乌鲁木齐·... ​,,['Freedom'],0,0,1,2018-05-26 16:01,https://weibo.com/1244798613/GirwwweA4?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.0.0.640.640.50/4a321e95ly8fq8s9ficzdj20hs0hsq45.jpg,Neutral,-0.041666666666666664
1,,Consumer,Brand,weibo,[],暴走的AZ-LI,倩碧这两个套装炒鸡划算的！ |香港特别行... ​,,['Freedom'],1,0,0,2018-05-26 14:57,https://weibo.com/5446155931/Gir6yDG3t?refer_flag=1001030103_,https://tva2.sinaimg.cn/crop.66.0.335.335.50/005WzvWHgw1ewaekdui38j30e609g0u5.jpg,Neutral,-0.19642857142857142
1,,Consumer,Brand,weibo,[],奶味翅,这几天真的心心念念倩碧小菊花腮红08今天早上差点就下单了 但是想到昨天晚上看了好多好看的衣服 又数了下我居然有七块腮红了 默默得停下了准备付款的手 用买腮红的钱买了一条小裙子感觉元气少女的秘诀就是 往苹果肌上使劲怼腮红（前提是要皮肤白）附图最近种的腮红草 ​,,['Freedom'],0,1,0,2018-05-26 14:20,https://weibo.com/3629282571/GiqRCgb8g?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.751.751.50/d852750bly8frpxzsdaz3j20kv0kv74q.jpg,Neutral,-0.04444444444444444
1,,Consumer,Brand,weibo,[],Cliclea,短短一个小时里买了elta防晒，mad hippie精华和心机水，倩碧全效眼霜，葡萄籽颗粒还有西柚磨砂膏，我觉得我的 已掏空明天开始到周四，再用一分钱我就…… ​,,['Freedom'],0,0,1,2018-05-26 13:51,https://weibo.com/5152784639/GiqFRgxPJ?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.664.664.50/005CIyFFly8frnqtwrxl6j30ig0ig0t6.jpg,Neutral,-0.625
1,,Consumer,Brand,weibo,[],Yakikiki7,倩碧官网全场八折是时候来收黄油什么的了 ​,,['Freedom'],1,0,0,2018-05-26 13:35,https://weibo.com/6557582393/GiqzfrsZT?refer_flag=1001030103_,https://tvax2.sinaimg.cn/crop.0.0.132.132.50/0079MWJXly8frmdmtwg1uj303o03omx0.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],杨慧慧全球购,倩碧美白淡斑精华了解一下，有现货 ​,,[],1,0,0,2018-05-26 13:05,https://weibo.com/5547618319/GiqmXkUFh?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.996.996.50/0063reWPly8fr8coouqe8j30ro0ro0tk.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],就当一条咸鱼吧,倩碧满55美金送正装！还有这些看图买家的搭配，非常划算了 ​,,['Freedom'],0,0,1,2018-05-26 12:25,https://weibo.com/5693620199/Giq6N27NZ?refer_flag=1001030103_,https://tvax2.sinaimg.cn/crop.0.0.960.960.50/006djQHRly8fobnr5rcijj30qo0qo3zx.jpg,Neutral,0.2
1,,Consumer,Brand,weibo,[],wuli团,可以拍！直接团价！//@wuli团:你们进去🔗选项里面找！任意三件即可包邮除偏远！黛珂系列散粉焕白洁面面霜，雪肌精水乳，江原道粉底液，娇兰粉底液气垫唇釉，贝玲妃腮红和修容，LM单色眼影散粉，stila，雅顿，nars遮瑕腮红眼影，kissme睫毛膏老版，欧莱雅小黑瓶，three粉饼，倩碧，祖马龙，muf水粉霜,,[],0,1,0,2018-05-26 12:11,https://weibo.com/5210061072/Giq15BU9p?refer_flag=1001030103_,https://tva4.sinaimg.cn/crop.0.0.640.640.50/005GAST6jw8f05t8ww46yj30hs0hsaas.jpg,Neutral,0.02239583333333333
1,,Consumer,Brand,weibo,[],洋买手全球购,再也不要纠结兰蔻粉水搭什么乳液了，种草时间到！【兰蔻大粉水+倩碧黄油】，最好的水乳搭配，完美搭档！众多小仙女们反馈，这俩搭配在一起，真的超级补水、超级好用！兰蔻大粉水，倩碧黄油，一对超级CP！ ​,,['Freedom'],0,0,1,2018-05-26 12:09,https://weibo.com/3892710910/Giq0upR4Z?refer_flag=1001030103_,https://tva2.sinaimg.cn/crop.0.0.1080.1080.50/e8060dfejw8ebatcnzn4cj20u00u0myb.jpg,Positive,0.46130952380952395
1,,Consumer,Brand,weibo,[],批发韩日泰护肤品,"倩碧黄油125ml，有油和无油都有乳液中经久不衰的一款产品，曾经一度蹦跶在博客和论坛里，在温和的补水保湿界里人尽皆知。每2秒钟卖出一瓶是肌肤的"" 保湿饮料""和""滋润甘露 ""。小黄油比一般的乳液要薄，吸收的比较快，可以把脱皮搞定，后续跟妆也服帖，🤔不会有腻腻的感觉 ​
			...展开全文c",,['Freedom'],1,0,0,2018-05-26 11:40,https://weibo.com/3020125735/GipOycRuw?refer_flag=1001030103_,https://tvax4.sinaimg.cn/crop.0.10.640.640.50/b4037627ly8feyti6v0r3j20hs0icab6.jpg,Neutral,0.15666666666666668
1,,Consumer,Brand,weibo,[],做一个安静的龙猫咪,终于想起来要用我买的倩碧黄油了，放着不用实在浪费，所以我应该搭配一个粉水还是倩碧2号水，，，求求各位仙女们给个意见，，混干皮，大家来踊跃回答一下吧 ​,,['Freedom'],1,0,0,2018-05-26 11:07,https://weibo.com/3861687741/GipBbCzUK?refer_flag=1001030103_,https://tvax4.sinaimg.cn/crop.0.0.996.996.50/e62cadbdly8fmhi0k1dxlj20ro0rodid.jpg,Neutral,0.05
1,,Consumer,Brand,weibo,[],榴萝萝,二次清洁蛮重要的 我用倩碧三号水可以擦出角质和黑头🙃🙃🙃 ​,,['Freedom'],0,0,1,2018-05-26 09:59,https://weibo.com/3812228988/Gip9tkFeA?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.22.0.1081.1081.50/e339ff7cly8fn9h6j5whyj20v90u10ue.jpg,Neutral,0.11000000000000001
1,,Consumer,Brand,weibo,"['#澳门代购#', '#新八佰伴vipday#', '#澳门特区·官也街[地点]#']",澳门代购韩小絮PP,2018新八佰伴VIP日💥倩碧预售套装️有意购买的亲 需提前预定付款为准 买不到退款非诚勿扰！！！#澳门代购##新八佰伴vipday##澳门特区·官也街[地点]# ​,,['Freedom'],1,0,0,2018-05-26 09:58,https://weibo.com/5645551421/Gip9isTmW?refer_flag=1001030103_,https://tva4.sinaimg.cn/crop.0.0.996.996.50/006a49OZjw8f5srs890bvj30ro0rowgb.jpg,Neutral,0.25366950757575757
1,,Consumer,Brand,weibo,[],鹿哥团,流金水、倩碧腮红在团哦,,[],0,0,1,2018-05-26 09:42,https://weibo.com/5790171122/Gip2PbIWp?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.6.0.1524.1524.50/006jQY0Oly8fmy1p299v9j316o16c0y2.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,"['#退坑回血便宜出！#', '#许魏洲的红包#']",午后阳光WN,我在闲鱼发布了【倩碧液体洁面，2号水】#退坑回血便宜出！# 网页链接 #许魏洲的红包# ​,,['Freedom'],1,0,0,2018-05-26 08:29,https://weibo.com/1264617152/GiozhowwL?refer_flag=1001030103_,https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif,Positive,0.5
