politician,label
http://dbpedia.org/resource/R._K._Singh,R. K. Singh
http://dbpedia.org/resource/Ram_Shankar_Katheria,Ram Shankar Katheria
http://dbpedia.org/resource/SBPBK_Satyanarayana_Rao,SBPBK Satyanarayana Rao
http://dbpedia.org/resource/Shankar_Prasad_Jaiswal,Shankar Prasad Jaiswal
http://dbpedia.org/resource/Shrish_Chandra_Dikshit,Shrish Chandra Dikshit
http://dbpedia.org/resource/Asifa_Khan,Asifa Khan
http://dbpedia.org/resource/Bijoy_Mohapatra,Bijoy Mohapatra
http://dbpedia.org/resource/Bullet_Prakash,Bullet Prakash
http://dbpedia.org/resource/Kaling_Moyong,Kaling Moyong
http://dbpedia.org/resource/Padmanabha_Acharya,Padmanabha Acharya
http://dbpedia.org/resource/Ranjanben_Dhananjay_Bhatt,Ranjanben Dhananjay Bhatt
http://dbpedia.org/resource/Sarjeet_Singh_Dang,Sarjeet Singh Dang
http://dbpedia.org/resource/Tangor_Tapak,Tangor Tapak
http://dbpedia.org/resource/Arvinder_Singh_Lovely_(Deoli_MLA),Arvinder Singh Lovely
http://dbpedia.org/resource/Jagdish_Pradhan,Jagdish Pradhan
http://dbpedia.org/resource/Nirbhay_Pal_Sharma,Nirbhay Pal Sharma
http://dbpedia.org/resource/Ramvir_Singh_Bidhuri,Ramvir Singh Bidhuri
http://dbpedia.org/resource/Vasudev_Devnani,Vasudev Devnani
http://dbpedia.org/resource/Ghanshyam_Tiwari,Ghanshyam Tiwari
http://dbpedia.org/resource/Gulshan_Ajmani,Gulshan Ajmani
http://dbpedia.org/resource/Parsuram_Majhi,Parsuram Majhi
http://dbpedia.org/resource/Raghunandan_Singh_Bhadauria,Raghunandan Singh Bhadauria
http://dbpedia.org/resource/Rahul_Kaswan,Rahul Kaswan
http://dbpedia.org/resource/Santosh_Ahlawat,Santosh Ahlawat
http://dbpedia.org/resource/Satya_Pal_Jain,Satya Pal Jain
http://dbpedia.org/resource/Sushma_Swaraj,Sushma Swaraj
http://dbpedia.org/resource/Bhavna_Chikhalia,Bhavna Chikhalia
http://dbpedia.org/resource/Eknath_Khadse,Eknath Khadse
http://dbpedia.org/resource/K._Raghupati_Bhat,K. Raghupati Bhat
http://dbpedia.org/resource/Nitin_Gadkari,Nitin Gadkari
http://dbpedia.org/resource/B._Sriramulu,B. Sriramulu
http://dbpedia.org/resource/G._Kishan_Reddy,G. Kishan Reddy
http://dbpedia.org/resource/Vijay_Kumar_Singh,Vijay Kumar Singh
http://dbpedia.org/resource/Alphons_Kannanthanam,Alphons Kannanthanam
http://dbpedia.org/resource/Brijmohan_Agrawal,Brijmohan Agrawal
http://dbpedia.org/resource/Janardhana_Swamy,Janardhana Swamy
http://dbpedia.org/resource/Jay_Narayan_Vyas,Jay Narayan Vyas
http://dbpedia.org/resource/Lalji_Tandon,Lalji Tandon
http://dbpedia.org/resource/Piyush_Goyal,Piyush Goyal
http://dbpedia.org/resource/Ram_Madhav,Ram Madhav
http://dbpedia.org/resource/Suresh_Kashinath_Haware,Suresh Kashinath Haware
http://dbpedia.org/resource/Chandrakant_Raghunath_Patil,Chandrakant Raghunath Patil
http://dbpedia.org/resource/Giriraj_Singh,Giriraj Singh
http://dbpedia.org/resource/Himanta_Biswa_Sarma,Himanta Biswa Sarma
http://dbpedia.org/resource/Jai_Bhagwan_Goyal,Jai Bhagwan Goyal
http://dbpedia.org/resource/Kantilal_Amrutiya,Kantilal Amrutiya
http://dbpedia.org/resource/Meenakshi_Lekhi,Meenakshi Lekhi
http://dbpedia.org/resource/Raghubar_Das,Raghubar Das
http://dbpedia.org/resource/Sanjay_Joshi,Sanjay Joshi
http://dbpedia.org/resource/Sheela_Gautam,Sheela Gautam
http://dbpedia.org/resource/Shiv_Pratap_Shukla,Shiv Pratap Shukla
http://dbpedia.org/resource/Sudhir_Mungantiwar,Sudhir Mungantiwar
http://dbpedia.org/resource/Vijender_Gupta,Vijender Gupta
http://dbpedia.org/resource/Anand_Singh_(Karnataka_politician),Anand Singh
http://dbpedia.org/resource/Anil_Jain_(politician),Anil Jain
http://dbpedia.org/resource/Hardeep_Singh_Puri,Hardeep Singh Puri
http://dbpedia.org/resource/J._Shantha,J. Shantha
http://dbpedia.org/resource/Jaswant_Singh_Bishnoi,Jaswant Singh Bishnoi
http://dbpedia.org/resource/K._R._Malkani,K. R. Malkani
http://dbpedia.org/resource/Lalmuni_Chaubey,Lalmuni Chaubey
http://dbpedia.org/resource/Naranbhai_Kachhadia,Naranbhai Kachhadia
http://dbpedia.org/resource/Ram_Shakal,Ram Shakal
http://dbpedia.org/resource/Satish_Mahana,Satish Mahana
http://dbpedia.org/resource/Pramod_Mahajan,Pramod Mahajan
http://dbpedia.org/resource/Kavuri_Samba_Siva_Rao,Kavuri Samba Siva Rao
http://dbpedia.org/resource/Laxmi_Mall_Singhvi,Laxmi Mall Singhvi
http://dbpedia.org/resource/Rahul_Mahajan,Rahul Mahajan
http://dbpedia.org/resource/Bijoya_Chakravarty,Bijoya Chakravarty
http://dbpedia.org/resource/Suresh_Mehta,Suresh Mehta
http://dbpedia.org/resource/Gopalrao_Patil,Gopalrao Patil
http://dbpedia.org/resource/Kavita_Jain,Kavita Jain
http://dbpedia.org/resource/Ganpatsinh_Vestabhai_Vasava,Ganpatsinh Vestabhai Vasava
http://dbpedia.org/resource/Jagatvir_Singh_Drona,Jagatvir Singh Drona
http://dbpedia.org/resource/Navjot_Kaur_Sidhu,Navjot Kaur Sidhu
http://dbpedia.org/resource/Poonamben_Veljibhai_Jat,Poonamben Veljibhai Jat
http://dbpedia.org/resource/Prabhatsinh_Pratapsinh_Chauhan,Prabhatsinh Pratapsinh Chauhan
http://dbpedia.org/resource/Shazia_Ilmi,Shazia Ilmi
http://dbpedia.org/resource/Vitthal_Radadiya,Vitthal Radadiya
