politician,label
http://dbpedia.org/resource/P._Sreeramakrishnan,P. Sreeramakrishnan
http://dbpedia.org/resource/Harkishan_Singh_Surjeet,Harkishan Singh Surjeet
http://dbpedia.org/resource/R._Umanath,R. Umanath
http://dbpedia.org/resource/A._P._Abdullakutty,A. P. Abdullakutty
http://dbpedia.org/resource/Alakesh_Das,Alakesh Das
http://dbpedia.org/resource/Amitava_Nandy,Amitava Nandy
http://dbpedia.org/resource/Babu_Rao_Mediyam,Babu Rao Mediyam
http://dbpedia.org/resource/Baju_Ban_Riyan,Baju Ban Riyan
http://dbpedia.org/resource/Basudeb_Acharia,Basudeb Acharia
http://dbpedia.org/resource/Basudeb_Barman,Basudeb Barman
http://dbpedia.org/resource/Bikash_Chowdhury,Bikash Chowdhury
http://dbpedia.org/resource/Hannan_Mollah,Hannan Mollah
http://dbpedia.org/resource/K._Suresh_Kurup,K. Suresh Kurup
http://dbpedia.org/resource/Khagen_Das,Khagen Das
http://dbpedia.org/resource/Lakshman_Chandra_Seth,Lakshman Chandra Seth
http://dbpedia.org/resource/Minati_Sen,Minati Sen
http://dbpedia.org/resource/Mohammed_Salim_(politician),Mohammed Salim
http://dbpedia.org/resource/Nikhilananda_Sar,Nikhilananda Sar
http://dbpedia.org/resource/Prasanta_Pradhan,Prasanta Pradhan
http://dbpedia.org/resource/Rupchand_Murmu,Rupchand Murmu
http://dbpedia.org/resource/Rupchand_Pal,Rupchand Pal
http://dbpedia.org/resource/Samik_Lahiri,Samik Lahiri
http://dbpedia.org/resource/Santasri_Chatterjee,Santasri Chatterjee
http://dbpedia.org/resource/Sunil_Khan,Sunil Khan
http://dbpedia.org/resource/Tarit_Baran_Topdar,Tarit Baran Topdar
http://dbpedia.org/resource/Ram_Chandra_Dome,Ram Chandra Dome
http://dbpedia.org/resource/Asim_Dasgupta,Asim Dasgupta
http://dbpedia.org/resource/Biplab_Dasgupta,Biplab Dasgupta
http://dbpedia.org/resource/A._K._Gopalan,A. K. Gopalan
http://dbpedia.org/resource/Mahboob_Zahedi,Mahboob Zahedi
http://dbpedia.org/resource/Mohammed_Amin_(politician),Mohammed Amin
http://dbpedia.org/resource/S._Ramachandran_Pillai,S. Ramachandran Pillai
http://dbpedia.org/resource/Susheela_Gopalan,Susheela Gopalan
http://dbpedia.org/resource/P._K._Gurudasan,P. K. Gurudasan
http://dbpedia.org/resource/Uddaraju_Ramam,Uddaraju Ramam
http://dbpedia.org/resource/Badaruddoza_Khan,Badaruddoza Khan
http://dbpedia.org/resource/Jitendra_Choudhury,Jitendra Choudhury
http://dbpedia.org/resource/Kunja_Bojji,Kunja Bojji
http://dbpedia.org/resource/Sankar_Prasad_Datta,Sankar Prasad Datta
http://dbpedia.org/resource/Hare_Krishna_Konar,Hare Krishna Konar
http://dbpedia.org/resource/T.M._Thomas_Isaac,T.M. Thomas Isaac
http://dbpedia.org/resource/Pinarayi_Vijayan,Pinarayi Vijayan
http://dbpedia.org/resource/Jyotirmoyee_Sikdar,Jyotirmoyee Sikdar
http://dbpedia.org/resource/T._N._Seema,T. N. Seema
http://dbpedia.org/resource/P_Rajeev,P Rajeev
http://dbpedia.org/resource/Nanduri_Prasada_Rao,Nanduri Prasada Rao
http://dbpedia.org/resource/Sunnam_Rajaiah,Sunnam Rajaiah
http://dbpedia.org/resource/Biman_Bose,Biman Bose
http://dbpedia.org/resource/Gautam_Deb,Gautam Deb
http://dbpedia.org/resource/James_Mathew,James Mathew
http://dbpedia.org/resource/K._Kunhiraman_(Trikaripur_MLA),K. Kunhiraman
http://dbpedia.org/resource/A._Pradeepkumar,A. Pradeepkumar
http://dbpedia.org/resource/Ajitha_Jayarajan,Ajitha Jayarajan
http://dbpedia.org/resource/C._K._Sadasivan,C. K. Sadasivan
http://dbpedia.org/resource/E._P._Jayarajan,E. P. Jayarajan
http://dbpedia.org/resource/Jadunath_Kisku,Jadunath Kisku
http://dbpedia.org/resource/Jitendra_Nath_Das,Jitendra Nath Das
