"name","label"
"http://dbpedia.org/resource/A._B._A._Ghani_Khan_Choudhury","A. B. A. Ghani Khan Choudhury"
"http://dbpedia.org/resource/A._F._Golam_Osmani","A. F. Golam Osmani"
"http://dbpedia.org/resource/Anjan_Kumar_Yadav","Anjan Kumar Yadav"
"http://dbpedia.org/resource/B._D._Sharma","B. D. Sharma"
"http://dbpedia.org/resource/Bagun_Sumbrai","Bagun Sumbrai"
"http://dbpedia.org/resource/Damodar_Barku_Shingada","Damodar Barku Shingada"
"http://dbpedia.org/resource/Dip_Gogoi","Dip Gogoi"
"http://dbpedia.org/resource/E._V._K._S._Elangovan","E. V. K. S. Elangovan"
"http://dbpedia.org/resource/Giridhar_Gamang","Giridhar Gamang"
"http://dbpedia.org/resource/Gulsher_Ahmad","Gulsher Ahmad"
"http://dbpedia.org/resource/Ingrid_Mcleod","Ingrid Mcleod"
"http://dbpedia.org/resource/Iqbal_Ahmed_Saradgi","Iqbal Ahmed Saradgi"
"http://dbpedia.org/resource/J._M._Aaroon_Rashid","J. M. Aaroon Rashid"
"http://dbpedia.org/resource/Jagmeet_Singh_Brar","Jagmeet Singh Brar"
"http://dbpedia.org/resource/Jitin_Prasada","Jitin Prasada"
"http://dbpedia.org/resource/K._Rani","K. Rani"
"http://dbpedia.org/resource/K._V._Thangkabalu","K. V. Thangkabalu"
"http://dbpedia.org/resource/K._Virupaxappa","K. Virupaxappa"
"http://dbpedia.org/resource/Kantilal_Bhuria","Kantilal Bhuria"
"http://dbpedia.org/resource/Karuna_Shukla","Karuna Shukla"
"http://dbpedia.org/resource/Kirip_Chaliha","Kirip Chaliha"
"http://dbpedia.org/resource/Kishore_Chandra_Deo","Kishore Chandra Deo"
"http://dbpedia.org/resource/Krishna_Tirath","Krishna Tirath"
"http://dbpedia.org/resource/Lalit_Mohan_Suklabaidya","Lalit Mohan Suklabaidya"
"http://dbpedia.org/resource/M._M._Pallam_Raju","M. M. Pallam Raju"
"http://dbpedia.org/resource/Madhav_Singh_Solanki","Madhav Singh Solanki"
"http://dbpedia.org/resource/Mahaveer_Prasad","Mahaveer Prasad"
"http://dbpedia.org/resource/N._Y._Hanumanthappa","N. Y. Hanumanthappa"
"http://dbpedia.org/resource/Nikhil_Kumar","Nikhil Kumar"
"http://dbpedia.org/resource/Paty_Ripple_Kyndiah","Paty Ripple Kyndiah"
"http://dbpedia.org/resource/Pawan_Kumar_Bansal","Pawan Kumar Bansal"
"http://dbpedia.org/resource/R._Dhanuskodi_Athithan","R. Dhanuskodi Athithan"
"http://dbpedia.org/resource/R._Prabhu","R. Prabhu"
"http://dbpedia.org/resource/Raja_Ram_Pal","Raja Ram Pal"
"http://dbpedia.org/resource/Rameshwar_Oraon","Rameshwar Oraon"
"http://dbpedia.org/resource/Ramsevak_Singh_(Babuji)","Ramsevak Singh (Babuji)"
"http://dbpedia.org/resource/Rana_Gurjeet_Singh","Rana Gurjeet Singh"
"http://dbpedia.org/resource/S._K._Kharventhan","S. K. Kharventhan"
"http://dbpedia.org/resource/Sachin_Pilot","Sachin Pilot"
"http://dbpedia.org/resource/Saleem_Iqbal_Shervani","Saleem Iqbal Shervani"
"http://dbpedia.org/resource/Sarvey_Sathyanarayana","Sarvey Sathyanarayana"
"http://dbpedia.org/resource/Shakeel_Ahmad","Shakeel Ahmad"
"http://dbpedia.org/resource/Sheila_Kaul","Sheila Kaul"
